label	clickSelects	showSelected1	showSelected3	group
Andorra	Andorra	Andorra	Europe & Central Asia	1
United Arab Emirates	United Arab Emirates	United Arab Emirates	Middle East & North Africa	2
Afghanistan	Afghanistan	Afghanistan	South Asia	3
Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean	4
Albania	Albania	Albania	Europe & Central Asia	5
Armenia	Armenia	Armenia	Europe & Central Asia	6
Angola	Angola	Angola	Sub-Saharan Africa	7
Argentina	Argentina	Argentina	Latin America & Caribbean	8
American Samoa	American Samoa	American Samoa	East Asia & Pacific	9
Austria	Austria	Austria	Europe & Central Asia	10
Australia	Australia	Australia	East Asia & Pacific	11
Aruba	Aruba	Aruba	Latin America & Caribbean	12
Azerbaijan	Azerbaijan	Azerbaijan	Europe & Central Asia	13
Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	14
Barbados	Barbados	Barbados	Latin America & Caribbean	15
Bangladesh	Bangladesh	Bangladesh	South Asia	16
Belgium	Belgium	Belgium	Europe & Central Asia	17
Burkina Faso	Burkina Faso	Burkina Faso	Sub-Saharan Africa	18
Bulgaria	Bulgaria	Bulgaria	Europe & Central Asia	19
Bahrain	Bahrain	Bahrain	Middle East & North Africa	20
Burundi	Burundi	Burundi	Sub-Saharan Africa	21
Benin	Benin	Benin	Sub-Saharan Africa	22
Bermuda	Bermuda	Bermuda	North America	23
Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	24
Bolivia	Bolivia	Bolivia	Latin America & Caribbean	25
Brazil	Brazil	Brazil	Latin America & Caribbean	26
Bahamas, The	Bahamas, The	Bahamas, The	Latin America & Caribbean	27
Bhutan	Bhutan	Bhutan	South Asia	28
Botswana	Botswana	Botswana	Sub-Saharan Africa	29
Belarus	Belarus	Belarus	Europe & Central Asia	30
Belize	Belize	Belize	Latin America & Caribbean	31
Canada	Canada	Canada	North America	32
Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	33
Central African Republic	Central African Republic	Central African Republic	Sub-Saharan Africa	34
Congo, Rep.	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	35
Switzerland	Switzerland	Switzerland	Europe & Central Asia	36
Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	37
Chile	Chile	Chile	Latin America & Caribbean	38
Cameroon	Cameroon	Cameroon	Sub-Saharan Africa	39
China	China	China	East Asia & Pacific	40
Colombia	Colombia	Colombia	Latin America & Caribbean	41
Costa Rica	Costa Rica	Costa Rica	Latin America & Caribbean	42
Cuba	Cuba	Cuba	Latin America & Caribbean	43
Cape Verde	Cape Verde	Cape Verde	Sub-Saharan Africa	44
Curacao	Curacao	Curacao	Latin America & Caribbean	45
Cyprus	Cyprus	Cyprus	Europe & Central Asia	46
Czech Republic	Czech Republic	Czech Republic	Europe & Central Asia	47
Germany	Germany	Germany	Europe & Central Asia	48
Djibouti	Djibouti	Djibouti	Middle East & North Africa	49
Denmark	Denmark	Denmark	Europe & Central Asia	50
Dominica	Dominica	Dominica	Latin America & Caribbean	51
Dominican Republic	Dominican Republic	Dominican Republic	Latin America & Caribbean	52
Algeria	Algeria	Algeria	Middle East & North Africa	53
Ecuador	Ecuador	Ecuador	Latin America & Caribbean	54
Estonia	Estonia	Estonia	Europe & Central Asia	55
Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa	56
Eritrea	Eritrea	Eritrea	Sub-Saharan Africa	57
Spain	Spain	Spain	Europe & Central Asia	58
Ethiopia	Ethiopia	Ethiopia	Sub-Saharan Africa	59
Finland	Finland	Finland	Europe & Central Asia	60
Fiji	Fiji	Fiji	East Asia & Pacific	61
Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	East Asia & Pacific	62
Faeroe Islands	Faeroe Islands	Faeroe Islands	Europe & Central Asia	63
France	France	France	Europe & Central Asia	64
Gabon	Gabon	Gabon	Sub-Saharan Africa	65
United Kingdom	United Kingdom	United Kingdom	Europe & Central Asia	66
Grenada	Grenada	Grenada	Latin America & Caribbean	67
Georgia	Georgia	Georgia	Europe & Central Asia	68
Ghana	Ghana	Ghana	Sub-Saharan Africa	69
Greenland	Greenland	Greenland	Europe & Central Asia	70
Gambia, The	Gambia, The	Gambia, The	Sub-Saharan Africa	71
Guinea	Guinea	Guinea	Sub-Saharan Africa	72
Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Sub-Saharan Africa	73
Greece	Greece	Greece	Europe & Central Asia	74
Guatemala	Guatemala	Guatemala	Latin America & Caribbean	75
Guam	Guam	Guam	East Asia & Pacific	76
Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Sub-Saharan Africa	77
Guyana	Guyana	Guyana	Latin America & Caribbean	78
Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	East Asia & Pacific	79
Honduras	Honduras	Honduras	Latin America & Caribbean	80
Croatia	Croatia	Croatia	Europe & Central Asia	81
Haiti	Haiti	Haiti	Latin America & Caribbean	82
Hungary	Hungary	Hungary	Europe & Central Asia	83
Indonesia	Indonesia	Indonesia	East Asia & Pacific	84
Ireland	Ireland	Ireland	Europe & Central Asia	85
Israel	Israel	Israel	Middle East & North Africa	86
Isle of Man	Isle of Man	Isle of Man	Europe & Central Asia	87
India	India	India	South Asia	88
