x	y	label	key	showSelected1	group
5	80	year = 1960	year = 1960	1960	1
5	80	year = 1961	year = 1961	1961	2
5	80	year = 1962	year = 1962	1962	3
5	80	year = 1963	year = 1963	1963	4
5	80	year = 1964	year = 1964	1964	5
5	80	year = 1965	year = 1965	1965	6
5	80	year = 1966	year = 1966	1966	7
5	80	year = 1967	year = 1967	1967	8
5	80	year = 1968	year = 1968	1968	9
5	80	year = 1969	year = 1969	1969	10
5	80	year = 1970	year = 1970	1970	11
5	80	year = 1971	year = 1971	1971	12
5	80	year = 1972	year = 1972	1972	13
5	80	year = 1973	year = 1973	1973	14
5	80	year = 1974	year = 1974	1974	15
5	80	year = 1975	year = 1975	1975	16
5	80	year = 1976	year = 1976	1976	17
5	80	year = 1977	year = 1977	1977	18
5	80	year = 1978	year = 1978	1978	19
5	80	year = 1979	year = 1979	1979	20
5	80	year = 1980	year = 1980	1980	21
5	80	year = 1981	year = 1981	1981	22
5	80	year = 1982	year = 1982	1982	23
5	80	year = 1983	year = 1983	1983	24
5	80	year = 1984	year = 1984	1984	25
5	80	year = 1985	year = 1985	1985	26
5	80	year = 1986	year = 1986	1986	27
5	80	year = 1987	year = 1987	1987	28
5	80	year = 1988	year = 1988	1988	29
5	80	year = 1989	year = 1989	1989	30
5	80	year = 1990	year = 1990	1990	31
5	80	year = 1991	year = 1991	1991	32
5	80	year = 1992	year = 1992	1992	33
5	80	year = 1993	year = 1993	1993	34
5	80	year = 1994	year = 1994	1994	35
5	80	year = 1995	year = 1995	1995	36
5	80	year = 1996	year = 1996	1996	37
5	80	year = 1997	year = 1997	1997	38
5	80	year = 1998	year = 1998	1998	39
5	80	year = 1999	year = 1999	1999	40
5	80	year = 2000	year = 2000	2000	41
5	80	year = 2001	year = 2001	2001	42
5	80	year = 2002	year = 2002	2002	43
5	80	year = 2003	year = 2003	2003	44
5	80	year = 2004	year = 2004	2004	45
5	80	year = 2005	year = 2005	2005	46
5	80	year = 2006	year = 2006	2006	47
5	80	year = 2007	year = 2007	2007	48
5	80	year = 2008	year = 2008	2008	49
5	80	year = 2009	year = 2009	2009	50
5	80	year = 2010	year = 2010	2010	51
5	80	year = 2011	year = 2011	2011	52
5	80	year = 2012	year = 2012	2012	53
